session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
36_4,1769.8467,46.1,942.173,63.3,3.5386,87.1,109.8931,59.0,3.1513,42.5,-5.53,3.1,38.5,93.3,-7.6,10.7,93.8,68.3
36_5,1788.3376,49.2,881.0262,34.1,3.3603,73.0,97.0937,22.2,3.0784,42.0,-3.65,6.4,26.98,29.3,-9.0,1.4,93.9,68.9
360_1,1492.696,5.2,910.9814,47.0,3.2767,58.3,133.4492,96.6,7.1623,69.2,5.58,85.9,34.35,76.8,-7.2,21.3,94.4,72.6
360_2,1622.8093,21.3,940.2299,61.4,3.3169,66.1,134.1269,96.9,11.1797,91.4,2.17,57.9,34.36,76.9,-7.1,25.6,95.6,80.1
360_3,1472.2909,4.3,1011.2106,91.0,3.3035,63.5,136.4319,97.9,0.4752,27.9,2.18,58.2,34.3,76.4,-6.9,32.8,94.5,73.1
360_4,1568.0486,10.8,1000.395,88.5,3.2,47.7,134.5383,97.1,5.9878,61.6,1.47,53.2,35.29,81.8,-6.8,38.1,91.8,55.2
360_5,1592.8448,14.8,1022.3199,93.1,3.1789,45.1,132.0213,95.7,7.3466,70.7,3.14,66.3,39.84,96.6,-6.1,71.3,94.1,71.0
360_6,1493.3181,5.3,939.5619,61.1,3.0492,28.7,134.0766,96.7,4.2226,49.6,3.71,72.5,30.36,48.9,-6.8,38.1,92.8,62.0
360_7,1573.1145,11.7,873.1642,30.5,3.234,52.3,130.8706,94.5,3.0429,41.7,4.76,80.1,31.45,56.1,-7.4,14.6,98.4,89.8
360_8,1543.7534,8.6,913.8513,47.7,3.1652,43.7,135.9151,97.6,1.2257,30.3,5.68,86.4,36.7,88.6,-6.3,64.2,95.0,75.1
363_1,1862.5625,63.5,906.5057,45.3,3.0236,25.8,106.0899,46.8,8.8571,79.0,-0.66,22.2,34.7,79.3,-6.6,50.1,100.6,94.3
363_2,1870.8431,65.4,950.0981,68.7,2.9585,18.6,106.1292,47.2,-7.2947,3.4,0.48,44.8,27.59,32.2,-6.9,32.8,93.7,67.6
363_3,1784.978,48.4,946.5059,66.1,3.0785,33.2,105.0624,43.4,-8.5656,2.1,-0.21,25.6,25.48,23.8,-7.1,25.6,100.9,95.0
363_4,1871.5879,65.6,968.2101,77.5,2.975,20.5,105.6351,45.1,8.7419,78.5,-3.01,8.7,31.02,53.3,-6.8,38.1,100.2,93.5
363_5,1808.2426,53.4,978.3192,80.6,3.0466,28.6,102.9203,36.0,-2.9054,12.6,-3.21,8.0,27.71,33.0,-6.9,32.8,95.3,76.5
363_6,1859.1223,63.0,981.1735,81.8,3.0801,33.7,102.94,36.1,6.2548,64.0,-1.93,15.1,33.36,69.7,-6.8,38.1,100.1,93.3
363_7,2071.1162,87.4,1011.2755,91.2,3.0226,25.6,103.1223,37.2,15.0372,97.8,-0.36,23.9,30.17,47.0,-6.9,32.8,97.7,87.6
363_8,1807.2856,52.7,1008.3991,90.5,3.0959,35.3,104.9039,42.3,-2.7756,13.8,-2.82,9.3,31.62,57.3,-6.7,43.8,95.5,78.7
376_1,1631.4521,22.0,965.4917,76.8,3.2827,59.9,110.2144,59.9,1.3318,30.6,3.24,67.4,28.93,39.6,-6.6,50.1,97.8,88.1
376_2,1622.5188,21.2,951.1735,69.2,3.3235,67.8,108.3283,53.0,-0.1543,24.3,-6.69,1.9,30.46,49.1,-6.9,32.8,94.9,74.5
376_3,1545.955,8.8,914.6252,48.7,3.3484,71.3,109.8563,58.9,5.8223,61.1,-0.76,21.6,31.76,58.6,-6.3,64.2,88.3,34.9
376_4,1668.5819,28.1,871.6072,29.6,3.3624,73.5,108.8111,54.6,2.4883,37.9,7.96,93.9,31.02,53.3,-6.6,50.1,92.3,58.5
376_6,1735.3517,40.1,931.8359,57.3,3.2579,55.2,107.2595,50.3,4.8293,54.7,0.0,34.4,0.0,7.5,-5.9,76.3,83.8,19.1
376_7,1560.5808,10.3,940.751,62.3,3.1561,42.2,109.0478,55.2,1.2197,30.1,1.59,54.2,26.43,26.7,-7.1,25.6,90.2,44.8
376_8,1713.7408,35.8,973.0696,79.0,3.3093,64.9,109.9096,59.2,1.7663,32.7,-0.64,22.4,29.11,40.6,-6.8,38.1,95.6,80.1
378_1,1754.3064,43.4,1050.4407,95.5,3.3164,65.9,103.4998,37.9,10.2801,88.0,2.14,57.6,35.5,83.1,-4.4,90.6,89.6,41.4
378_2,1569.8993,11.0,948.3574,67.3,3.4148,76.6,105.6022,44.8,10.0583,86.9,-0.87,20.5,29.78,44.6,-4.9,88.6,88.4,35.5
378_3,1604.3596,17.4,982.1014,82.1,3.2383,52.8,103.0353,36.5,12.0572,93.1,0.62,46.1,30.62,50.4,-4.8,89.3,92.1,57.1
